sil sil
a1 a
a2 a
a3 a
a4 a
a5 a
ai1 ai
ai2 ai
ai3 ai
ai4 ai
ai5 ai
ao1 ao
ao2 ao
ao3 ao
ao4 ao
ao5 ao
b b
c c 
ch ch
d d
e1 e
e2 e
e3 e
e4 e
e5 e
ei1 ei
ei2 ei
ei3 ei
ei4 ei
ei5 ei
er2 er
er3 er
er4 er
f f
g g
h h
i1 i
i2 i
i3 i
i4 i
i5 i
ia1 ia
ia2 ia
ia3 ia
ia4 ia
ia5 ia
iao1 iao
iao2 iao
iao3 iao
iao4 iao
iao5 iao
ie1 ie
ie2 ie
ie3 ie
ie4 ie
ie5 ie
iu1 iu
iu2 iu
iu3 iu
iu4 iu
iu5 iu
j j
k k
l l
m m
n n
ng ng 
o1 o
o2 o
o3 o
o4 o
o5 o
ou1 ou
ou2 ou
ou3 ou
ou4 ou
ou5 ou
p p
q q
r r
s s
sh sh
t t
u1 u
u2 u
u3 u
u4 u
u5 u
ua1 ua
ua2 ua
ua3 ua
ua4 ua
ua5 ua
uai1 uai
uai2 uai
uai3 uai
uai4 uai
uai5 uai
ue1 ue
ue2 ue
ue3 ue
ue4 ue
ui1 ui
ui2 ui
ui3 ui
ui4 ui
uo1 uo
uo2 uo
uo3 uo
uo4 uo
uo5 uo
v1 v
v2 v
v3 v
v4 v
v5 v
w w
x x
y y
z z
zh zh
